4.496443130226093e-05    6.373812847452520e-06    4.887082683987567e-02
4.555278492176026e-05    6.457213343172584e-06    4.887082684053223e-02
4.614883707033141e-05    6.541705123318276e-06    4.887082684120608e-02
4.675268848220614e-05    6.627302467201615e-06    4.887082684189776e-02
4.736444120971028e-05    6.714019840977522e-06    4.887082684260759e-02
4.798419864051082e-05    6.801871900088640e-06    4.887082684333609e-02
4.861206551508864e-05    6.890873491742138e-06    4.887082684408384e-02
4.924814794443993e-05    6.981039657418923e-06    4.887082684485122e-02
4.989255342800919e-05    7.072385635415687e-06    4.887082684563889e-02
5.054539087185687e-05    7.164926863420216e-06    4.887082684644727e-02
5.120677060706483e-05    7.258678981120398e-06    4.887082684727696e-02
5.187680440838245e-05    7.353657832847361e-06    4.887082684812846e-02
5.255560551311690e-05    7.449879470253212e-06    4.887082684900244e-02
5.324328864027048e-05    7.547360155023794e-06    4.887082684989949e-02
5.393997000992846e-05    7.646116361626963e-06    4.887082685082005e-02
5.464576736290045e-05    7.746164780096799e-06    4.887082685176490e-02
5.536079998061900e-05    7.847522318854268e-06    4.887082685273461e-02
5.608518870529832e-05    7.950206107564792e-06    4.887082685372990e-02
5.681905596035701e-05    8.054233500033188e-06    4.887082685475141e-02
5.756252577110786e-05    8.159622077136515e-06    4.887082685579986e-02
5.831572378571840e-05    8.266389649795282e-06    4.887082685687587e-02
5.907877729644580e-05    8.374554261983532e-06    4.887082685798021e-02
5.985181526114950e-05    8.484134193778320e-06    4.887082685911374e-02
6.063496832508544e-05    8.595147964449090e-06    4.887082686027701e-02
6.142836884298541e-05    8.707614335587477e-06    4.887082686147100e-02
6.223215090142532e-05    8.821552314278055e-06    4.887082686269637e-02
6.304645034148609e-05    8.936981156310587e-06    4.887082686395409e-02
6.387140478171123e-05    9.053920369434294e-06    4.887082686524495e-02
6.470715364136459e-05    9.172389716654712e-06    4.887082686656976e-02
6.555383816399265e-05    9.292409219573695e-06    4.887082686792948e-02
6.641160144129489e-05    9.413999161773104e-06    4.887082686932503e-02
6.728058843730674e-05    9.537180092242782e-06    4.887082687075728e-02
6.816094601289881e-05    9.661972828853387e-06    4.887082687222730e-02
6.905282295059671e-05    9.788398461874666e-06    4.887082687373607e-02
6.995636997972565e-05    9.916478357539745e-06    4.887082687528455e-02
7.087173980188409e-05    1.004623416165609e-05    4.887082687687388e-02
7.179908711675066e-05    1.017768780326369e-05    4.887082687850496e-02
7.273856864822872e-05    1.031086149834114e-05    4.887082688017905e-02
7.369034317093317e-05    1.044577775356014e-05    4.887082688189728e-02
7.465457153702365e-05    1.058245937008924e-05    4.887082688366069e-02
7.563141670338898e-05    1.072092944744726e-05    4.887082688547068e-02
7.662104375918728e-05    1.086121138740717e-05    4.887082688732828e-02
7.762361995374638e-05    1.100332889795105e-05    4.887082688923481e-02
7.863931472482939e-05    1.114730599727676e-05    4.887082689119149e-02
